narration_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,narration,Actions
,,,,,,
P02_120_0,P02_120,00:00:03.916,00:00:00.38,00:00:00.38,सोल्डरिंग स्टेशन का तापमान सेट करें,सोल्डरिंग स्टेशन का तापमान सेट करें
P02_120_2,P02_120,00:00:03.916,00:01:11,00:01:11,सोल्डर की नोक रगड़ें,सोल्डर की नोक रगड़ें
P02_120_1,P02_120,00:00:05.173,00:01:14,00:01:14,स्पंज पर पानी छिड़कें,स्पंज पर पानी छिड़कें
P02_120_10,P02_120,00:00:57.652,00:01:25,00:01:25,सोल्डर की नोक साफ करें,सोल्डर की  नोक साफ करें
P02_120_100,P02_120,00:05:44.405,00:01:33,00:01:33,सोल्डर के प्रकार,सोल्डर के प्रकार
P02_120_101,P02_120,00:06:01.405,00:02:16,00:02:16,टिप पर धातु लगाएं,टिप पर धातु लगाएं
P02_120_102,P02_120,00:06:17.155,00:03:11,00:03:11,तारों को मोड़ो,तारों को मोड़ो
P02_120_103,P02_120,00:06:17.903,00:03:18,00:03:18,धारक में तार पकड़ो,धारक में तार पकड़ो
P02_120_104,P02_120,00:06:20.656,00:03:28,00:03:28,मुड़ तारों को प्रकार,मुड़ तारों को प्रकार
P02_120_105,P02_120,00:06:23.155,00:05:25,00:05:25,टिन टिप,टिन टिप
P02_120_106,P02_120,00:06:25.419,00:05:26,00:05:26,अतिरिक्त धातु निकालें,अतिरिक्त धातु निकालें
P02_120_107,P02_120,00:06:25.911,00:05:29,00:05:29,स्पंज का प्रयोग करें,स्पंज का प्रयोग करें
P02_120_107,P02_120,00:06:25.911,00:02:14,00:02:14,धातु के बुलबुले बनाएं,धातु के बुलबुले बनाएं
P02_120_107,P02_120,00:06:25.911,00:04:02,00:04:02,तार को कवर करे,तार को कवर करे
