narration_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,narration,Actions
P02_120_0,P02_120,00:00:03.916,00:00:03.35,00:00:04.49,hold bowl,"[hold bowl, grab bowl, clasp bowl, grip bowl]"
P02_120_1,P02_120,00:00:05.173,00:00:03.33,00:00:43.82,mix butter with sugar,"mix butter with sugar, add butter with sugar, add butter into sugar, blend butter with sugar, combine butter with sugar"
P02_120_10,P02_120,00:00:57.652,00:00:56.76,00:00:59.02,crack egg,"crack egg, break egg, use egg"
P02_120_100,P02_120,00:05:44.405,00:05:43.92,00:05:54.00,hold spoon,"hold spoon, use spoon"
P02_120_101,P02_120,00:06:01.405,00:06:00.80,00:06:01.85,put spoon in glass,"put spoon in glass, keep spoon in glass "
P02_120_102,P02_120,00:06:17.155,00:06:16.46,00:06:16.89,turn off blender,"turn off blender, switch off blender, switch off mixer, turn of mixer"
P02_120_103,P02_120,00:06:17.903,00:06:16.94,00:06:17.83,rest blender onto side of bowl,"rest blender onto side of bowl, keep blender in bowl"
P02_120_104,P02_120,00:06:20.656,00:06:20.23,00:06:21.68,check recipe,check recipe
P02_120_105,P02_120,00:06:23.155,00:06:22.79,00:06:23.80,remove lid from blender,remove lid from blender
P02_120_106,P02_120,00:06:25.419,00:06:23.74,00:06:25.55,unlock blender from processor,unlock blender from processor
P02_120_107,P02_120,00:06:25.911,00:06:25.43,00:06:26.10,pick up blender,pick up blender
P02_120_108,P02_120,00:06:28.657,00:06:26.14,00:06:26.86,remove blender cover,remove blender cover
P02_120_109,P02_120,00:06:29.154,00:06:28.39,00:06:29.55,put down cover,"put down cover, keep cover"
P02_120_11,P02_120,00:00:59.906,00:00:59.64,00:01:00.70,open compost bin,open compost bin
P02_120_110,P02_120,00:06:31.913,00:06:30.87,00:06:38.08,"pour pistachio from blender onto bowl,add pistachio in bowl, when should I add pistachio in bowl",pour pistachio from blender onto bowl
P02_120_111,P02_120,00:06:32.166,00:06:30.51,00:06:31.71,turn on hand blender,"turn on hand blender, turn on the blender, switch on the blender"
P02_120_112,P02_120,00:06:35.657,00:06:31.51,00:06:43.65,blend ingredients,blend ingredients
P02_120_113,P02_120,00:06:44.165,00:06:42.79,00:06:45.95,pour pistachio from blender onto bowl,pour pistachio from blender onto bowl
P02_120_114,P02_120,00:06:47.156,00:06:45.95,00:06:58.40,blend ingredients,blend ingredients
P02_120_115,P02_120,00:06:58.906,00:06:58.02,00:06:59.42,turn off blender,turn off blender
P02_120_116,P02_120,00:07:01.406,00:07:00.24,00:07:02.49,rest blender on side of bowl,rest blender on side of bowl
P02_120_117,P02_120,00:07:02.906,00:07:02.25,00:07:03.67,turn blender upside down,turn blender upside down
P02_120_118,P02_120,00:07:04.156,00:07:03.54,00:07:16.29,shake blender so pistachio falls into bowl,"[shake blender so pistachio falls into bowl, shake blender, take pistachio from blender]"
P02_120_119,P02_120,00:07:21.406,00:07:20.45,00:07:22.14,put down blender next to sink,put down blender next to sink
P02_120_12,P02_120,00:01:01.154,00:01:00.80,00:01:01.46,throw eggshells,"throw eggshells, waste eggshells"
P02_120_120,P02_120,00:07:24.907,00:07:24.47,00:07:25.70,pick up hand blender,pick up hand blender
P02_120_121,P02_120,00:07:25.905,00:07:24.64,00:07:26.02,turn on hand blender,turn on hand blender
P02_120_122,P02_120,00:07:26.906,00:07:26.07,00:07:51.85,blend ingredients,blend ingredients
P02_120_123,P02_120,00:07:52.154,00:07:51.58,00:07:52.24,turn off blender,turn off blender
P02_120_124,P02_120,00:07:52.655,00:07:51.80,00:07:52.82,rest blender on side of bowl,rest blender on side of bowl
P02_120_125,P02_120,00:07:55.406,00:07:54.92,00:07:55.87,pick up flour bag,pick up flour bag
P02_120_126,P02_120,00:07:56.158,00:07:55.97,00:07:58.81,open flour bag,"open flour bag, take flour bag"
P02_120_127,P02_120,00:07:59.406,00:07:58.56,00:08:07.90,pour flour from bag into glass,pour flour from bag into glass
P02_120_128,P02_120,00:08:10.654,00:08:07.84,00:08:13.59,close flour bag,close flour bag
P02_120_129,P02_120,00:08:13.655,00:08:13.16,00:08:14.15,put down flour bag,put down flour bag
P02_120_13,P02_120,00:01:01.405,00:01:01.46,00:01:01.83,close compost bin,close compost bin
P02_120_130,P02_120,00:08:14.155,00:08:14.73,00:08:16.40,move sugar jar,move sugar jar
P02_120_131,P02_120,00:08:15.406,00:08:15.01,00:08:15.70,pick up blender,pick up blender
P02_120_132,P02_120,00:08:15.654,00:08:15.52,00:08:15.95,turn on hand blender,turn on hand blender
P02_120_133,P02_120,00:08:15.904,00:08:15.89,00:08:16.27,pick up glass,"pick up glass, hold glass, take the glass"
P02_120_134,P02_120,00:08:16.158,00:08:15.97,00:08:17.82,pour flour from glass onto bowl,pour flour from glass onto bowl
P02_120_135,P02_120,00:08:16.905,00:08:17.85,00:08:26.74,blend ingredients,blend ingredients
P02_120_136,P02_120,00:08:27.157,00:08:26.76,00:08:28.27,pour flour from glass into bowl,pour flour from glass into bowl
P02_120_137,P02_120,00:08:28.905,00:08:28.21,00:08:35.36,blend ingredients,blend ingredients
P02_120_138,P02_120,00:08:35.907,00:08:34.98,00:08:37.12,pour flour from glass into bowl,pour flour from glass into bowl
P02_120_139,P02_120,00:08:37.158,00:08:37.02,00:08:42.98,blend ingredients,blend ingredients
P02_120_14,P02_120,00:01:02.905,00:01:02.07,00:01:02.60,hold bowl,"hold bowl, grab bowl, clasp bowl, grip bowl,"
P02_120_140,P02_120,00:08:43.656,00:08:42.99,00:08:44.34,put down glass,put down glass
P02_120_141,P02_120,00:08:45.405,00:08:44.31,00:08:44.91,hold bowl,"hold bowl, grab bowl, clasp bowl, grip bowl,"
P02_120_142,P02_120,00:08:46.654,00:08:46.16,00:08:47.07,turn off hand blender,turn off hand blender
